filename,cluster
product_19_19_segmented.png,0
product_12_12_segmented.png,1
product_17_17_segmented.png,1
product_20_20_segmented.png,1
product_22_22_segmented.png,1
product_24_24_segmented.png,1
product_27_27_segmented.png,1
product_2_2_segmented.png,1
product_32_32_segmented.png,1
product_3_3_segmented.png,1
product_5_5_segmented.png,1
product_0_0_segmented.png,2
product_14_14_segmented.png,2
product_15_15_segmented.png,2
product_16_16_segmented.png,2
product_23_23_segmented.png,2
product_31_31_segmented.png,2
product_33_33_segmented.png,2
product_36_36_segmented.png,2
product_39_39_segmented.png,2
product_10_10_segmented.png,3
product_11_11_segmented.png,3
product_18_18_segmented.png,3
product_21_21_segmented.png,3
product_25_25_segmented.png,3
product_28_28_segmented.png,3
product_4_4_segmented.png,3
product_7_7_segmented.png,3
product_13_13_segmented.png,4
product_30_30_segmented.png,4
product_37_37_segmented.png,4
product_29_29_segmented.png,5
product_35_35_segmented.png,5
product_38_38_segmented.png,5
product_6_6_segmented.png,5
product_9_9_segmented.png,5
